"","tractce10","lon","lat","conservation","roofs_2012"
"181",770602,-87.9044878333049,42.0123904664145,0,0
"182",839700,-87.6523570617945,41.8330798940315,0,0
"183",835200,-87.7452866124581,41.7966436555295,0,0
"184",833900,-87.5477992097618,41.7318649294992,0,0
"185",836800,-87.7138625099285,41.8850448666572,0,0
"186",838800,-87.5723193065835,41.6835082196481,0,0
"187",836700,-87.7021746901944,41.8917041051491,0,2
"188",832200,-87.679972899469,41.9204779103294,0,2
"189",252201,-87.752105109093,41.876695804393,0,1
"190",831000,-87.6769993812815,41.91478772506,0,0
"191",832400,-87.6922564863783,41.9157411198924,0,1
"192",70103,-87.6426051488333,41.9268109763708,1,0
"193",220701,-87.7215650632372,41.9261554084507,0,0
"194",841600,-87.7076032371344,41.8553771459801,0,0
"195",770902,-87.8361839827677,41.9700657330182,0,0
"196",660301,-87.6982872378824,41.7799540794058,0,0
"197",660302,-87.6983926273274,41.7835956825436,0,0
"198",301802,-87.7277591632837,41.8451846013699,0,0
"199",834000,-87.6294983666872,41.7275357511166,0,0
"200",834200,-87.5836069094962,41.7555676001216,0,1
"201",730201,-87.6579113581357,41.7268300518839,0,0
"202",835500,-87.6325418947968,41.8163538755432,0,0
"203",839500,-87.6192895301054,41.8340973797695,0,0
"204",839200,-87.6220359599092,41.8420106663268,0,0
"205",530502,-87.6266737896408,41.6648047764957,0,0
"206",840400,-87.6676794968081,41.8338478510142,0,1
"207",841000,-87.6173866640216,41.848448676148,0,4
"208",30101,-87.6546677495734,41.991270713564,1,0
"209",700302,-87.7313064328706,41.7383651880246,0,0
"210",700402,-87.7118234080756,41.7382302038983,0,0
"211",700401,-87.7120354916434,41.7455371537203,0,0
"212",830500,-87.7239513279983,41.8300655325993,0,0
"213",841700,-87.7041818283835,41.8531301683992,0,0
"214",640100,-87.7399954134188,41.7820943103336,0,0
"215",840700,-87.694266544709,41.8529302079209,0,0
"216",841300,-87.6830309657031,41.8440831775795,0,0
"217",301801,-87.7350491977893,41.8416616925104,0,0
"218",60800,-87.6437631608345,41.9538479464772,1,0
"219",832300,-87.6714488441482,41.9192069627033,0,2
"220",832500,-87.6641184380092,41.9218777742079,0,2
"221",832000,-87.6542981646883,41.9462941088909,0,1
"222",160601,-87.7021491117493,41.959531570485,0,0
"223",210501,-87.7223301407161,41.9374013125666,0,2
"224",210601,-87.7122139847398,41.9376356398626,0,0
"225",81300,-87.6207531481917,41.8983354004391,1,1
"226",700502,-87.6887682679691,41.7388521584183,0,0
"227",836100,-87.6186826412434,41.7998051791088,0,1
"228",835700,-87.6275977815832,41.8128443176854,0,6
"229",61100,-87.656803491609,41.9491397489476,1,0
"230",836400,-87.5958325087507,41.8211751491791,0,0
"231",836500,-87.6006379516055,41.8282770375087,0,0
"232",839600,-87.6192494635654,41.8274411052344,0,0
"233",840000,-87.638298878422,41.8311661705079,0,0
"234",835600,-87.6322013007712,41.801835146781,0,0
"235",830800,-87.6765774945755,41.9651412662387,0,0
"236",460301,-87.5563644937571,41.7400278389929,0,0
"237",301701,-87.7196253889005,41.8424805461353,0,0
"238",310400,-87.6522612788901,41.8565068686593,0,0
"239",530100,-87.6179394953351,41.6818522425724,0,0
"240",81100,-87.6291090044113,41.9002064997211,1,1
"241",150700,-87.7619580289418,41.9495915330561,0,1
"242",301702,-87.719524400201,41.8388061871301,0,0
"243",700301,-87.7317116576314,41.7456224714788,0,1
